x18,,
Wavelength (nm),Abs,
499.953125,0.05902447179,
499.0424194,0.0591891706,
497.9796753,0.05906581134,
497.068573,0.05910172686,
496.0054016,0.05912601948,
494.9419861,0.0592895709,
494.0303345,0.05984376371,
492.9664917,0.05928443745,
492.0544434,0.0596087575,
490.9901733,0.05936681852,
489.9256897,0.05957574025,
489.0130615,0.05946544558,
487.9481506,0.05969419703,
487.0351563,0.06005137041,
485.9697876,0.05947883427,
485.0564575,0.05979530886,
483.9906616,0.06006566808,
482.9246521,0.06007039174,
482.0107727,0.06013463438,
480.9443359,0.06024938077,
480.0300598,0.06027483568,
478.9631958,0.06036132947,
478.048584,0.06045947224,
476.9812927,0.0603621006,
476.0663147,0.06065897644,
474.9986267,0.06051829457,
473.9307251,0.0606036149,
473.0151672,0.06074676663,
471.9468384,0.06082733721,
471.0309753,0.06077484414,
469.9622192,0.06071699783,
469.04599,0.06098069251,
467.9768066,0.06102963537,
467.0602417,0.06089863181,
465.9906616,0.06121247634,
465.0737305,0.06126296893,
464.0037537,0.06132088602,
462.9335632,0.06141191348,
462.0160828,0.06141665205,
460.9454651,0.0616193153,
460.0276489,0.06185362116,
458.9566345,0.06147882715,
458.0384827,0.06193908304,
456.9670715,0.06168444455,
456.0485535,0.06214951724,
454.9767456,0.0620238781,
454.0578918,0.06234585494,
452.9856873,0.06204633042,
452.0664978,0.06204525754,
450.9938965,0.06212744489,
450.0743408,0.06229613349,
449.0013733,0.06226783991,
447.9281616,0.0624714084,
447.0080872,0.062279284,
445.9345093,0.06273625791,
445.0140991,0.06258136034,
443.9401245,0.06290531158,
443.0194092,0.06255615503,
441.9450073,0.06322734058,
441.0239563,0.06284487247,
439.9491882,0.0634700954,
439.0278015,0.06305380166,
437.9526672,0.06321117282,
437.0309448,0.06329681724,
435.9554138,0.06366862357,
435.0333557,0.06320896,
433.9574585,0.06349226832,
433.0350647,0.06331323087,
431.9587708,0.0636953339,
431.0360718,0.06383782625,
429.9594116,0.06414221972,
429.036377,0.064292036,
427.9593506,0.06424680352,
427.0359802,0.06405793875,
425.9585876,0.06404918432,
425.0349121,0.06464979798,
423.9571228,0.06469994038,
423.0331421,0.06461365521,
421.9549561,0.06464961916,
421.0306702,0.06474611908,
419.9521179,0.06494688243,
419.0274963,0.06511044502,
417.9486084,0.06503409892,
417.0236816,0.06505114585,
415.944397,0.06532260031,
415.019165,0.06524609774,
413.9395142,0.06567510217,
413.0139771,0.06559672952,
411.9339905,0.06604319811,
411.0081177,0.06599979848,
409.9277649,0.06608228385,
409.0015869,0.06624320894,
408.0752563,0.06653414667,
406.9943848,0.06667455286,
406.0677795,0.06669613719,
404.9865417,0.06673078984,
404.0596008,0.06712298095,
402.9779968,0.06754220277,
402.0507813,0.06750433892,
400.9688416,0.06816153973,
400.0413208,0.06800381094,
398.9590149,0.06804204732,
398.031189,0.06842646003,
396.9485474,0.0687828809,
396.0204163,0.06889729947,
394.9374084,0.06888870895,
394.0090027,0.06965104491,
392.9256592,0.06937766075,
391.9969177,0.0702161938,
391.0680847,0.0703696385,
389.9842224,0.07038458437,
389.0550842,0.07064876705,
387.9709167,0.07123225927,
387.0414734,0.07159478217,
385.9569397,0.07180725783,
385.0271912,0.07243017852,
383.9423523,0.07300810516,
383.0123291,0.07340972126,
381.927124,0.07397926599,
380.9968262,0.07405035198,
380.0663757,0.07460469007,
378.9806824,0.07507744431,
378.0499573,0.07538089156,
376.9639587,0.0762855038,
376.032959,0.07696738094,
374.9465942,0.07770265639,
374.0153198,0.07847616822,
372.9286499,0.07869048417,
371.9970703,0.07962630689,
371.0653687,0.08014048636,
369.9782104,0.08103748411,
369.0462341,0.08188266307,
367.9587708,0.08329357952,
367.0265198,0.08417442441,
365.9387207,0.08498650789,
